region	concord	N	jointquantile	se	inv	class	chrom	lower95	upper95	binom_p	binom_lowerCI	binom_upperCI	pvaluelabel
In(2L)t_bkpts	1	11	0.01	0	In(2L)t	bkpts	2L	1	1	0.00048828125	0.761595809619147	1	*
In(2R)NS_bkpts	0.666666666666667	3	0.01	0.272165526975909	In(2R)NS	bkpts	2R	0.133222233793885	1.20011109953945	0.5	0.135350362171584	1	
In(3L)P_bkpts	1	1	0.01	0	In(3L)P	bkpts	3L	1	1	0.5	0.05	1	
In(3R)K_bkpts	0.25	4	0.01	0.21650635094611	In(3R)K	bkpts	3R	-0.174352447854376	0.674352447854376	0.9375	0.0127414550985662	1	
In(3R)Mo_bkpts	0.75	8	0.01	0.153093108923949	In(3R)Mo	bkpts	3R	0.44993750650906	1.05006249349094	0.14453125	0.400310610809167	1	
In(3R)P_bkpts	0.75	4	0.01	0.21650635094611	In(3R)P	bkpts	3R	0.325647552145624	1.17435244785438	0.3125	0.248604625730182	1	
In(2L)t_exterior	0.769230769230769	13	0.01	0.116854542355808	In(2L)t	exterior	2L	0.540195866213385	0.998265672248153	0.046142578125	0.505350269848634	1	*
In(2R)NS_exterior	0.5	4	0.01	0.25	In(2R)NS	exterior	2R	0.01	0.99	0.6875	0.0976114628864144	1	
In(3L)P_exterior	0.25	4	0.01	0.21650635094611	In(3L)P	exterior	3L	-0.174352447854376	0.674352447854376	0.9375	0.0127414550985662	1	
In(3R)K_exterior	0.888888888888889	9	0.01	0.104756560175785	In(3R)K	exterior	3R	0.68356603094435	1.09421174683343	0.01953125	0.570864452968566	1	*
In(3R)Mo_exterior	0.642857142857143	42	0.01	0.0739355956438237	In(3R)Mo	exterior	3R	0.497943375395249	0.787770910319037	0.0442147734938772	0.50454314862907	1	*
In(3R)P_exterior	0.523809523809524	21	0.01	0.10898516862311	In(3R)P	exterior	3R	0.310198593308228	0.73742045431082	0.5	0.328108715101357	1	
In(2L)t_interior	0.923076923076923	13	0.01	0.073905301756194	In(2L)t	interior	2L	0.778222531634783	1.06793131451906	0.001708984375	0.68366023523727	1	*
In(2R)NS_interior	NA	0	0.01	NA	In(2R)NS	interior	2R	NA	NA	NA	NA	NA	
In(3L)P_interior	1	4	0.01	0	In(3L)P	interior	3L	1	1	0.0625	0.472870804501588	1	
In(3R)K_interior	0.673469387755102	49	0.01	0.0669919842161869	In(3R)K	interior	3R	0.542165098691376	0.804773676818828	0.0106470570706936	0.54719615177775	1	*
In(3R)Mo_interior	0.75	12	0.01	0.125	In(3R)Mo	interior	3R	0.505	0.995	0.072998046875	0.472673396439656	1	
In(3R)P_interior	0.756756756756757	37	0.01	0.0705338653298659	In(3R)P	interior	3R	0.61851038071022	0.895003132803294	0.00128160399617627	0.613919127578584	1	*
In(3R)KMoP_bkpts	0.625	16	0.01	0.121030729568982	In(3R)KMoP	bkpts	3R	0.387779770044795	0.862220229955205	0.227249145507813	0.391011583020741	1	
In(3R)KMoP_exterior	0.75	4	0.01	0.21650635094611	In(3R)KMoP	exterior	3R	0.325647552145624	1.17435244785438	0.3125	0.248604625730182	1	
In(3R)KMoP_interior	0.69047619047619	42	0.01	0.0713340266201865	In(3R)KMoP	interior	3R	0.550661498300624	0.830290882651756	0.00976023639123015	0.553564929507167	1	*
all_bkpts	0.774193548387097	31	0.01	0.0750951864835326	all	bkpts	all	0.627006982879373	0.921380113894821	0.00166344642639161	0.617389769083018	1	*
all_exterior	0.64	25	0.01	0.096	all	exterior	all	0.45184	0.82816	0.114761471748352	0.456066786077093	1	
all_interior	0.76271186440678	59	0.01	0.0553850123977925	all	interior	all	0.654157240107107	0.871266488706453	3.2653152224567e-05	0.654173771931967	1	*
all_all	0.739130434782609	115	0.01	0.0409471170255193	all	all	all	0.658874085412591	0.819386784152627	1.43032830204659e-07	0.663211393271346	1	*
2L_all	0.891891891891892	37	0.01	0.0510486638704343	2L	all	2L	0.791836510705841	0.991947273077943	5.42197085451337e-07	0.769457149197667	1	*
2R_all	0.571428571428571	7	0.01	0.187043905916565	2R	all	2R	0.204822515832104	0.938034627025038	0.5	0.225321584032448	1	
3L_all	0.666666666666667	9	0.01	0.157134840263677	3L	all	3L	0.35868237974986	0.974650953583474	0.25390625	0.344941365943703	1	
3R_all	0.67741935483871	62	0.01	0.0593679576507634	3R	all	3R	0.561058157843214	0.793780551834206	0.00357436691658154	0.566700586211013	1	*
