sample	individuals
mel144_082012_GB	100
mel159_112012_CO	60
mel175_082013_GB	88
mel176_082013_CO	100
mel177_092013_FB	72
mel178_092013_RD	57
mel137_062012_RD	27
mel158_112012_FB	58
mel160_112012_GB	56
mel161_112012_RD	92
mel180_122013_CO	100
mel181_122013_GB	72
mel153_102012_FB	100
mel142_082012_RD	92
mel156_102012_CO	116
mel169_052013_RD	50
mel171_052013_CO	98
melBA_102012_FAT	29
melBA_072012_SPT	55
melMA_102012_FAT	63
melMA_072012_SPT	100
melME_102009_FAT	161
melPA_072009_SPT	55
melNY_102012_FAT	58
melNY_072012_SPT	30
melFL_072010_SPT	39
melGA_072008_SPT	51
melNC_2003	92
melPA_112009_FAT	74
melPA_112010_FAT	33
melPA_112011_WIN_FRT	50
melPA_72010_SPT	116
melPA_72011_SPT	75
melSC_072010_SPT	48
melPA_102011_FAT	47
melPA_072012_SPT	115
melWI_102012_FAT	164
melPA_092012_SUM	50
melVA_072012_SPT	95
melVI_102012_FAT	44
melVI_082012_SPT	62
melWI_102012_FAT_FRT	100
melWI_062012_SPT	83
mel13OUK10_FAT  61
mel13CWI7_SPT   130
mel13CWI9_FAT   61
mel13LN6_SPT    54
mel13OUK5_SPT   37
mel14AGA10_FAT  99
mel14AGA6_SPT   44
mel14BHM11f1_FAT    18
mel14BHM11wild_FAT  16
mel14BHM7f1_SPT 46
mel14BHM7wild_SPT   60
mel14CUA10_FAT  76
mel14CUA6_SPT   104
mel14CWI6_SPT   130
mel14CWI9_FAT   61
mel14LMA10_FAT  90
mel14LMA7_SPT   32
mel14LNPA10_FAT 50
mel14LNPA6_SPT  92
mel14SCPA10_FAT 67
mel14SCPA6_SPT  45
mel14TKA10_FAT  48
mel14TKA6_SPT   72
mel14TWA7_SPT   70
mel15CUA10_FAT  89
mel15CUA7_SPT   65
mel15LN10_FAT   52
mel15LN7_SPT    74
mel15SCPA7_SPT  47
mel15SON8_SPT   108
mel15SON9_FAT   110
mel15UIL7_SPT   184
