L.gr fdr.gr obs.gr exp.gr L.less fdr.less obs.less exp.less exp.tot obs.tot fdr.tot seas.tot
1 1 470438 470438 1 1 470438 470438 940876 940876 1 0
2 0.999999999999935 470438 470437.99999997 2 0.999999999999935 470438 470437.99999997 940875.999999939 940876 0.999999999999935 6.0652382671833e-08
3 0.999999999916856 470438 470437.999960886 3 0.999999999916856 470438 470437.999960886 940875.999921772 940876 0.999999999916856 7.82284187152982e-05
4 0.999999989799478 470438 470437.995201287 4 0.999999989799478 470438 470437.995201287 940875.990402574 940876 0.999999989799478 0.00959742639679462
5 0.999999654786418 470438 470437.837598413 5 0.999999654786418 470438 470437.837598413 940875.675196826 940876 0.999999654786418 0.32480317435693
6 1.00000119687456 470435 470435.563051686 6 0.999996945503193 470437 470435.563051686 940871.126103371 940872 0.99999907118436 0.873896628734656
7 0.999995985255148 470419 470417.111387742 7 1.00000661414784 470414 470417.111387742 940834.222775483 940833 1.00000129967325 -1.22277548327111
8 1.00001702637948 470311 470319.007693559 8 1.00004466889836 470298 470319.007693559 940638.015387117 940609 1.0000308474479 -29.0153871172806
9 1.00001753284114 469933 469941.239260638 9 1.00009627504945 469896 469941.239260638 939882.478521275 939829 1.0000569023953 -53.4785212751012
10 1.00017695959201 468730 468812.946269562 10 1.00034769288288 468650 468812.946269562 937625.892539124 937380 1.00026231895189 -245.892539123655
11 1.0006008870396 465788 466067.885972402 11 1.00047630756173 465846 466067.885972402 932135.771944805 931634 1.00053859342274 -501.771944804932
12 1.00145987839417 459756 460427.187850988 12 1.00101789040107 459959 460427.187850988 920854.375701976 919715 1.0012388356197 -1139.37570197554
13 1.00235032620949 449309 450365.022718861 13 1.00167705576345 449611 450365.022718861 900730.045437722 898920 1.00201357789094 -1810.04543772212
14 1.00371771638003 432838 434447.168922501 14 1.00261743571622 433313 434447.168922501 868894.337845003 866151 1.00316727434939 -2743.33784500277
15 1.00417334250967 410025 411736.174762529 15 1.00336091442946 410357 411736.174762529 823472.349525058 820382 1.003766964079 -3090.34952505794
16 1.00475031467746 380306 382112.573173725 16 1.00371309925617 380699 382112.573173725 764225.146347451 761005 1.0042314391462 -3220.14634745067
17 1.00511187872717 344632 346393.716989502 17 1.00418820460272 344949 346393.716989502 692787.433979004 689581 1.0046498293587 -3206.43397900392
18 1.00575002517526 304465 306215.681414986 18 1.00341340158397 305174 306215.681414986 612431.362829971 609639 1.00458035465246 -2792.36282997101
19 1.00351214213633 262808 263731.019050563 19 1.00244793186499 263087 263731.019050563 527462.038101127 525895 1.00297975470603 -1567.03810112679
