inv	class	pvalue	obs	mean_enrich	median_enrich	lower95_enrich	upper95_enrich	lower90_enrich	upper90_enrich	mean_obs_grt_perm	pvalue_obs_grt_perm	chrom	pvaluelabel	sig_lower90
In(2L)t	bkpts	1	1	1	1	1	1	1	1	0	1	2L		
In(2L)t	bkpts	0.562341325190349	0.627780004007213	1.05273948568747	1.05853040540541	0.986735152873647	1.08325588165224	1.00430116666964	1.08105724978076	480	0.0419161676646707	2L	*	*
In(2L)t	bkpts	0.316227766016838	0.396513724704468	1.10339445661054	1.11655315248765	0.965564258607619	1.16998487857423	1.00054399433619	1.16363560494239	475	0.0518962075848303	2L	.	*
In(2L)t	bkpts	0.177827941003892	0.254307753957123	1.16998047133059	1.18879423061455	0.949672584119029	1.28271854471956	1.00821112524523	1.27244702694314	476	0.0499001996007984	2L	*	*
In(2L)t	bkpts	0.1	0.166149068322981	1.26156575859964	1.29062915387776	0.955828211234185	1.42941477527647	1.02682890518026	1.40801092370178	481	0.0399201596806387	2L	*	*
In(2L)t	bkpts	0.0562341325190349	0.104688439190543	1.31175978487603	1.34229136530533	0.939440719010452	1.53280793542831	1.02224079758085	1.50798716671155	478	0.0459081836327345	2L	*	*
In(2L)t	bkpts	0.0316227766016838	0.0675215387697856	1.39364991947669	1.42641930077314	0.92213411512991	1.68913844418701	1.02614275662135	1.65411246649844	478	0.0459081836327345	2L	*	*
In(2L)t	bkpts	0.0177827941003892	0.0443297936285314	1.50794869497715	1.54311855005208	0.944454410639112	1.88288440469441	1.0361761133941	1.84751124571201	484	0.0339321357285429	2L	*	*
In(2L)t	bkpts	0.01	0.0287016629933881	1.61199850826558	1.64183381088825	0.965320273655736	2.12222222222222	1.09263452833881	2.02508888894906	484	0.0339321357285429	2L	*	*
In(2L)t	bkpts	0.00562341325190349	0.0189841715087157	1.76441077515491	1.7877358490566	0.998618421052632	2.40669193997313	1.11777648891725	2.27083075602133	486	0.029940119760479	2L	*	*
In(2L)t	bkpts	0.00316227766016838	0.0124223602484472	1.91098164991677	1.93740295031056	1.0077605879107	2.71113987619186	1.16920611129304	2.55790451377772	487	0.0279441117764471	2L	*	*
In(2L)t	bkpts	0.00177827941003892	0.00796433580444801	2.02855838350078	2.02550882972018	1.02577947563679	3.11764705882353	1.16868805509427	2.89357848420085	489	0.0239520958083832	2L	*	*
In(2L)t	bkpts	0.001	0.00505910639150471	2.13829482659076	2.10406126861684	1.0047237026648	3.54796548658274	1.21686442222507	3.156099807779	487	0.0279441117764471	2L	*	*
In(2L)t	bkpts	0.000562341325190349	0.00370667200961731	2.59276277404696	2.46666666666667	1.16490940451245	4.62488995817471	1.39622641509434	4.11090518488835	497	0.00798403193612774	2L	**	*
In(2L)t	bkpts	0.000316227766016838	0.00225405730314566	2.67200781661893	2.5	1.19938429179636	5.62471824283711	1.32163865546219	4.5	496	0.00998003992015968	2L	**	*
In(2L)t	bkpts	0.000177827941003892	0.00140252454417952	2.86401073913365	2.54532704322326	1.11994389901823	6.99983345021038	1.21739130434783	5.6	494	0.0139720558882236	2L	*	*
In(2L)t	bkpts	1e-04	0.000751352434381887	Inf	2.14285714285714	0.882352941176471	7.5	1	7.49962432378281	474	0.0538922155688623	2L	.	
In(2L)t	bkpts	0.003894319	0.0141254257663795	1.81179974864009	1.84915374118201	0.985988056473681	2.49557522123894	1.13636312479479	2.3696291981028	486	0.029940119760479	2L	*	*
In(2R)NS	bkpts	1	0.999947495537121	0.999979314134896	1	0.999947495537121	1.00000000275701	0.999947495537121	1.00000000275701	162	0.676646706586826	2R		
In(2R)NS	bkpts	0.562341325190349	0.616559907592145	1.02257807879492	1.02455138644904	0.98925962713658	1.04589222141654	0.99699874744	1.04234630028552	469	0.063872255489022	2R	.	
In(2R)NS	bkpts	0.316227766016838	0.386590360180615	1.05083457603817	1.05542050023507	0.979970176104242	1.09646751238074	0.991704629604451	1.09034351104387	470	0.06187624750499	2R	.	
In(2R)NS	bkpts	0.177827941003892	0.241468024782106	1.06879325486355	1.07535568685595	0.953015902240797	1.14087950947364	0.977374904907	1.13112882152822	456	0.0898203592814371	2R	.	
In(2R)NS	bkpts	0.1	0.15467814764255	1.11038470330697	1.11818008273361	0.947843140661223	1.2183876848621	0.987514033621322	1.20495413055229	468	0.0658682634730539	2R	.	
In(2R)NS	bkpts	0.0562341325190349	0.0982883545101334	1.14260268696244	1.14984696303608	0.928258430675965	1.29112597598283	0.980441127269058	1.26827241442435	465	0.0718562874251497	2R	.	
In(2R)NS	bkpts	0.0316227766016838	0.061535230494592	1.15802315566858	1.17196923238475	0.898987642041729	1.34635464781857	0.945111665136698	1.31132716972693	458	0.0858283433133733	2R	.	
In(2R)NS	bkpts	0.0177827941003892	0.0386957891420771	1.17812064898068	1.18390540084975	0.872494073174669	1.40648854961832	0.929218833036317	1.38286553187807	455	0.0918163672654691	2R	.	
In(2R)NS	bkpts	0.01	0.0236795127585845	1.16980677734273	1.1759815160843	0.818489234584032	1.44551282051282	0.877215801508792	1.40513017301345	441	0.119760479041916	2R		
In(2R)NS	bkpts	0.00562341325190349	0.0134411424971123	1.07575585255137	1.07560201440652	0.720993057405499	1.39130434782609	0.761751722190155	1.34024728227554	352	0.297405189620758	2R		
In(2R)NS	bkpts	0.00316227766016838	0.00834820959781581	1.08264157454195	1.07426791750272	0.685173877947788	1.46576599334911	0.753554502369668	1.38253610252524	327	0.347305389221557	2R		
In(2R)NS	bkpts	0.00177827941003892	0.00567048199096923	1.20403894465687	1.18681318681319	0.71272399197196	1.71424296065166	0.794117647058824	1.61194029850746	403	0.19560878243513	2R		
In(2R)NS	bkpts	0.001	0.00393783471595086	1.37043529364045	1.33921539580864	0.768780656192424	2.08328137579194	0.871548321031907	1.92307692307692	436	0.129740518962076	2R		
In(2R)NS	bkpts	0.000562341325190349	0.00267772760684658	1.53066304307842	1.4570663506398	0.815682977206288	2.54993640396934	0.910711894886065	2.31818181818182	442	0.117764471057884	2R		
In(2R)NS	bkpts	0.000316227766016838	0.00162763834925969	1.55155187756548	1.47611296960242	0.774978637246666	3.09983723616507	0.859904495879897	2.58320447863068	437	0.127744510978044	2R		
In(2R)NS	bkpts	0.000177827941003892	0.00099758479470755	1.66226494018913	1.46150009289251	0.73073086212328	3.8	0.791625100633554	3.16666666666667	413	0.17564870259481	2R		
In(2R)NS	bkpts	1e-04	0.000682558017431482	Inf	1.625	0.722184302332365	6.5	0.866621162798838	4.33333333333333	433	0.135728542914172	2R		
In(2R)NS	bkpts	0.003894319	0.0095033077811614	1.03635976641599	1.03423140966982	0.666467854628755	1.35604064876544	0.723817771233662	1.29331878092731	290	0.421157684630739	2R		
In(3L)P	bkpts	1	1	1.00000926692409	1	1	1.00005865102639	1	1.00005865102639	79	0.842315369261477	3L		
In(3L)P	bkpts	0.562341325190349	0.601900181807519	1.00864800535504	1.00854952830189	0.991972791127106	1.02666190088119	0.994366825842158	1.02446531307449	412	0.177644710578842	3L		
In(3L)P	bkpts	0.316227766016838	0.366547416573808	1.01748782230546	1.01700431883035	0.985167418486733	1.05334564387145	0.990004915142615	1.04761757658774	427	0.147704590818363	3L		
In(3L)P	bkpts	0.177827941003892	0.217875784411471	0.997073426344942	0.996112097271081	0.947565227668029	1.04865220936803	0.956229652562643	1.04118535015842	215	0.570858283433134	3L		
In(3L)P	bkpts	0.1	0.134068383086036	1.00825014414514	1.00588163378524	0.941699919358616	1.0806609629583	0.952460345545379	1.06677870860299	286	0.429141716566866	3L		
In(3L)P	bkpts	0.0562341325190349	0.0835728109788282	1.0307641044142	1.02813852813853	0.938704665101203	1.13862149423678	0.955617143137255	1.1159841540375	354	0.293413173652695	3L		
In(3L)P	bkpts	0.0316227766016838	0.0519031141868512	1.04668249435162	1.04234169244501	0.933449983309224	1.16302191255698	0.957583861642887	1.15078113399418	386	0.229540918163673	3L		
In(3L)P	bkpts	0.0177827941003892	0.0323734678317987	1.06916202722806	1.06563706563707	0.92	1.21582515991802	0.946584396349352	1.19993314175122	403	0.19560878243513	3L		
In(3L)P	bkpts	0.01	0.0206439505014369	1.1168576411815	1.11392405063291	0.939858823529412	1.29881681199077	0.964383561643836	1.26641560397891	440	0.121756487025948	3L		
In(3L)P	bkpts	0.00562341325190349	0.0136648876898716	1.21012953259129	1.20103092783505	0.97489539748954	1.47953264863344	1.00844062546649	1.42944785276074	480	0.0419161676646707	3L	*	*
In(3L)P	bkpts	0.00316227766016838	0.00926631869098587	1.34113593313937	1.32773109243697	1.03267973856209	1.6989247311828	1.07482678016371	1.66306523154993	494	0.0139720558882236	3L	*	*
In(3L)P	bkpts	0.00177827941003892	0.00645123453169902	1.53399754551178	1.5068051285306	1.1340206185567	2.07547169811321	1.17021276595745	1.9998827048267	497	0.00798403193612774	3L	**	*
In(3L)P	bkpts	0.001	0.00404668347897484	1.57601898978135	1.53333333333333	1.08615950337014	2.37931034482759	1.13114754098361	2.22567591343616	493	0.0159680638722555	3L	*	*
In(3L)P	bkpts	0.000562341325190349	0.0025218462260278	1.63262046609938	1.59249919088052	1	2.68742513269016	1.075	2.38888888888889	486	0.029940119760479	3L	*	*
In(3L)P	bkpts	0.000316227766016838	0.00152483725294704	1.63730516995413	1.52941176470588	0.896551724137931	2.88888888888889	0.962962962962963	2.6	466	0.0698602794411178	3L	.	
In(3L)P	bkpts	0.000177827941003892	0.000879713799777139	1.63627659242796	1.49978007155006	0.789449376329217	3.75	0.833333333333333	3	417	0.167664670658683	3L		
In(3L)P	bkpts	1e-04	0.000586475866518093	Inf	1.42857142857143	0.740384615384615	5	0.833284460344457	4.99970676206674	418	0.165668662674651	3L		
In(3L)P	bkpts	0.003894319	0.0108498035305847	1.31537779697506	1.30270229080778	1.04208299314438	1.65168884103991	1.07521060743345	1.60851639455036	495	0.0119760479041916	3L	*	*
In(3R)K	bkpts	1	1	1	1	1	1	1	1	0	1	3R		
In(3R)K	bkpts	0.562341325190349	0.630991705204434	1.04265640807239	1.04276096701932	1.00773150425203	1.0778246217319	1.01461849131339	1.07195410899115	497	0.00798403193612774	3R	**	*
In(3R)K	bkpts	0.316227766016838	0.40138001908537	1.08167184263132	1.0807392140333	1.01720297965116	1.15398243453457	1.02406609410479	1.14753410283316	494	0.0139720558882236	3R	*	*
In(3R)K	bkpts	0.177827941003892	0.26000146810541	1.13602671790678	1.13543840070371	1.02407852070386	1.25252016234911	1.03778146069913	1.24108692186712	497	0.00798403193612774	3R	**	*
In(3R)K	bkpts	0.1	0.168465095793878	1.19105334866453	1.18788819875776	1.02908061930173	1.36171774019819	1.05178735105408	1.33585564610012	495	0.0119760479041916	3R	*	*
In(3R)K	bkpts	0.0562341325190349	0.108639800337664	1.24054217343832	1.23487714442057	1.01751442873552	1.45963946527653	1.05835403960545	1.43009011789684	492	0.0179640718562874	3R	*	*
In(3R)K	bkpts	0.0316227766016838	0.0698084122439991	1.28504087700721	1.27394564854593	1.007731679945	1.57326713097258	1.04031120173527	1.5342438699221	488	0.0259481037924152	3R	*	*
In(3R)K	bkpts	0.0177827941003892	0.0458782940615136	1.36320425409008	1.35281385281385	0.999922559801753	1.73864999226246	1.05717413869101	1.69376693766938	487	0.0279441117764471	3R	*	*
In(3R)K	bkpts	0.01	0.030463187256845	1.46382530836516	1.44097222222222	1.01703832082805	1.96682464454976	1.09111757105943	1.89541179674081	490	0.0219560878243513	3R	*	*
In(3R)K	bkpts	0.00562341325190349	0.0203332599280628	1.57982010345236	1.54748603351955	1.04924242424242	2.216	1.12556222134802	2.11450381679389	493	0.0159680638722555	3R	*	*
